sensor_id,date_time,road_id,volume,avg_speed,source_system,ingest_batch_id,extracted_at_utc,record_hash,date
305,2026-02-03 18:08:27+00:00,R0000,19,77.2,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,9cae17b982bae4e7,2026-02-03
324,2026-02-03 10:53:47+00:00,R0000,21,78.1,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,377ceee413d057db,2026-02-03
202,2026-02-03 15:20:32+00:00,R0000,16,94.7,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,f486f3b7627b1014,2026-02-03
247,2026-02-03 16:23:13+00:00,R0000,12,92.9,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,e6f2d5aa8b269a07,2026-02-03
91,2026-02-03 10:26:56+00:00,R0000,13,75.1,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,0dc6d8c4ba8b1ed5,2026-02-03
122,2026-02-03 09:02:09+00:00,R0000,12,91.4,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,5e4ead24476b79e1,2026-02-03
161,2026-02-04 17:27:33+00:00,R0000,16,82.3,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,f4a57ce6966cd45f,2026-02-04
181,2026-02-04 18:36:44+00:00,R0000,19,73.8,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,34be0e5e6dae85c8,2026-02-04
92,2026-02-04 14:33:09+00:00,R0000,12,78.5,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,778796b4878714b5,2026-02-04
40,2026-02-04 17:52:24+00:00,R0000,16,88.3,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,dd019b88763abf45,2026-02-04
67,2026-02-04 16:08:38+00:00,R0000,19,85.1,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,e9b6bc37780fbf78,2026-02-04
251,2026-02-04 08:54:30+00:00,R0000,18,71.5,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,30c8d95b497e93fd,2026-02-04
215,2026-02-04 21:44:58+00:00,R0000,10,68.6,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,8e29334848fda127,2026-02-04
275,2026-02-05 07:11:10+00:00,R0000,9,97.4,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,6f4e41bbdcc9ab83,2026-02-05
205,2026-02-05 16:34:02+00:00,R0000,14,89.9,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,7a5e3b2ba36df21f,2026-02-05
51,2026-02-05 22:00:41+00:00,R0000,17,101.0,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,4d02387f11b7dea1,2026-02-05
305,2026-02-05 01:16:03+00:00,R0000,18,88.7,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,3cae3f8d48af4222,2026-02-05
264,2026-02-05 08:50:56+00:00,R0000,19,88.8,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,ab865b9f19670b5d,2026-02-05
336,2026-02-05 08:26:04+00:00,R0000,21,85.9,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,ef38f7eae1836cdb,2026-02-05
125,2026-02-06 13:04:56+00:00,R0000,17,88.0,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,71e2c6efd1e01dfe,2026-02-06
253,2026-02-06 06:08:33+00:00,R0000,21,86.0,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,de0c7a778e04ea87,2026-02-06
227,2026-02-06 16:23:35+00:00,R0000,14,94.6,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,6ed96de76e0b95d5,2026-02-06
332,2026-02-06 07:12:29+00:00,R0000,13,88.0,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,190b8dd6ee09c9b7,2026-02-06
33,2026-02-06 22:08:44+00:00,R0000,13,99.7,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,4a21d6f962efa76e,2026-02-06
133,2026-02-06 15:12:49+00:00,R0000,15,106.7,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,b1c69fbebe408331,2026-02-06
328,2026-02-06 18:30:02+00:00,R0000,18,106.5,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,0b2c70180b8b66d3,2026-02-06
292,2026-02-07 17:20:13+00:00,R0000,14,76.5,speed_sensors,B20260305T000843Z,2026-03-05T00:08:43+00:00,0b8405bb86c00652,2026-02-07
