violation_id,date_time,road_id,violation_type,fine_amount,driver_age_band,source_system,ingest_batch_id,extracted_at_utc,record_hash,date
V0000000,2026-03-02 22:10:42+00:00,R0010,Speeding,690,46-60,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,2f9079b014d5e65e,2026-03-02
V0000001,2026-03-03 07:09:21+00:00,R0021,UnsafeLaneChange,380,26-35,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,30377da9f07a13e2,2026-03-03
V0000002,2026-02-18 18:05:53+00:00,R0015,Speeding,552,18-25,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,880eb7b094b1ef16,2026-02-18
V0000003,2026-02-27 17:27:59+00:00,R0021,Seatbelt,221,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,39fbbefcb5eaa107,2026-02-27
V0000004,2026-02-19 19:49:02+00:00,R0010,Speeding,639,46-60,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,27d6dcdffd1bfc8b,2026-02-19
V0000005,2026-02-06 23:09:08+00:00,R0007,Speeding,540,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,2682431ea91f1347,2026-02-06
V0000006,2026-02-15 00:53:35+00:00,R0006,Speeding,568,26-35,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,b65a0f6277f28006,2026-02-15
V0000007,2026-02-17 14:38:47+00:00,R0002,UnsafeLaneChange,459,46-60,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,2316da4eb25878fb,2026-02-17
V0000008,2026-02-12 09:24:11+00:00,R0014,UnsafeLaneChange,550,26-35,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,6cdc25773cfb4c4c,2026-02-12
V0000009,2026-02-05 07:56:30+00:00,R0023,PhoneUse,358,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,3355968d504d7b05,2026-02-05
V0000010,2026-02-19 18:12:32+00:00,R0021,Seatbelt,307,26-35,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,0f4bc67867bc9df4,2026-02-19
V0000011,2026-02-20 21:57:01+00:00,R0006,UnsafeLaneChange,367,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,a57239f1da8f9626,2026-02-20
V0000012,2026-03-02 19:22:27+00:00,R0014,Speeding,540,18-25,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,c636ac7254482df6,2026-03-02
V0000013,2026-02-10 23:42:58+00:00,R0005,RedLight,781,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,471100e69014700c,2026-02-10
V0000014,2026-02-20 10:27:40+00:00,R0011,Seatbelt,178,26-35,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,de7957dff4df59c3,2026-02-20
V0000015,2026-02-15 09:09:08+00:00,R0014,Seatbelt,246,18-25,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,95ae8938a095f263,2026-02-15
V0000016,2026-02-25 00:38:54+00:00,R0015,Speeding,599,46-60,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,b2e788cb143dbe77,2026-02-25
V0000017,2026-02-09 12:27:47+00:00,R0010,UnsafeLaneChange,600,18-25,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,3e91f9c4f3f7b408,2026-02-09
V0000018,2026-02-24 20:26:51+00:00,R0004,Speeding,536,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,c129be48ccfbc58b,2026-02-24
V0000019,2026-02-23 13:08:05+00:00,R0020,Seatbelt,183,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,3a0ff949eae665cd,2026-02-23
V0000020,2026-02-11 21:16:15+00:00,R0003,Speeding,627,18-25,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,9bcdbfbb75e3a118,2026-02-11
V0000021,2026-02-07 18:28:19+00:00,R0015,Speeding,584,26-35,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,8dabc937d5f144a1,2026-02-07
V0000022,2026-02-04 12:15:37+00:00,R0020,Seatbelt,260,26-35,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,7d196dcbfb44ed45,2026-02-04
V0000023,2026-02-08 08:40:58+00:00,R0016,Speeding,454,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,2680ba0db0081ada,2026-02-08
V0000024,2026-03-03 16:26:44+00:00,R0023,PhoneUse,359,18-25,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,8377c6d2db3e107a,2026-03-03
V0000025,2026-03-03 16:31:42+00:00,R0021,Speeding,655,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,c3e91a98ed23f9c4,2026-03-03
V0000026,2026-02-26 09:56:35+00:00,R0004,Speeding,633,<18,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,8ab547ebd63500a7,2026-02-26
V0000027,2026-02-23 16:34:43+00:00,R0021,PhoneUse,397,46-60,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,0d487984cf7b95a1,2026-02-23
V0000028,2026-02-18 20:32:28+00:00,R0011,Speeding,579,26-35,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,a676bca863a18f89,2026-02-18
V0000029,2026-02-11 18:37:17+00:00,R0006,PhoneUse,365,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,646235d9859de51e,2026-02-11
V0000030,2026-02-13 18:40:32+00:00,R0023,Speeding,655,46-60,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,2153a9fecfa28fae,2026-02-13
V0000031,2026-02-09 07:13:44+00:00,R0013,Speeding,468,18-25,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,5c4364889a14d249,2026-02-09
V0000032,2026-03-01 02:56:27+00:00,R0014,Seatbelt,229,36-45,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,ac622599f74b244f,2026-03-01
V0000033,2026-02-24 19:43:29+00:00,R0015,UnsafeLaneChange,582,26-35,violation_system,B20260305T000843Z,2026-03-05T00:08:43+00:00,6efff62578d58209,2026-02-24
