date_time,region,city,weather,visibility_km,precip_mm,temp_c,source_system,ingest_batch_id,extracted_at_utc,record_hash
2026-02-03 01:08:42.824908+00:00,Riyadh,Riyadh,Dust,3.8,0.08,39.0,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,ad57a90de119717d
2026-02-03 02:08:42.824908+00:00,Riyadh,Riyadh,Clear,10.0,0.06,43.2,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,6886382dc2e46ffb
2026-02-03 03:08:42.824908+00:00,Riyadh,Riyadh,Clear,9.2,0.15,23.7,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,10d2b799a61e5115
2026-02-03 04:08:42.824908+00:00,Riyadh,Riyadh,Clear,9.3,0.04,23.7,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,0efa45385f674480
2026-02-03 05:08:42.824908+00:00,Riyadh,Riyadh,Clear,10.1,0.0,33.6,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,4d198a31532574ad
2026-02-03 06:08:42.824908+00:00,Riyadh,Riyadh,Clear,9.3,0.34,29.4,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,5045e46b45d5837c
2026-02-03 07:08:42.824908+00:00,Riyadh,Riyadh,Clear,11.0,0.09,25.9,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,9ea346b69ecb3a1e
2026-02-03 08:08:42.824908+00:00,Riyadh,Riyadh,Dust,4.7,0.06,33.1,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,42ad76f5fe2fde0b
2026-02-03 09:08:42.824908+00:00,Riyadh,Riyadh,Clear,11.0,0.01,27.0,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,f5cf1a39ddc7f293
2026-02-03 10:08:42.824908+00:00,Riyadh,Riyadh,Fog,4.2,0.77,16.7,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,0f2699fad0477370
2026-02-03 11:08:42.824908+00:00,Riyadh,Riyadh,Clear,10.9,0.05,31.0,meteo_service,B20260305T000843Z,2026-03-05T00:08:43+00:00,c028b61082b0976d
